counterparty,description,action,time,base_currency,reporting_dispute_amount,dispute_age,dispute_amount,agreement_id,event_id,rescued_data,reporting_date
CENTRAL 1 CREDIT UNION,Valuation dispute on FX portfolio,Pending Review,2026-06-03 09:30:00,USD,450000.0,3,450000.0,3001,390066,,2026-06-03
INVESTEC BANK LIMITED,Counterparty disputes call amount,Under Investigation,2026-06-03 09:30:00,USD,120000.0,5,120000.0,8075,345454,,2026-06-03
BIMCOR INC,Valuation dispute,Under Investigation,2026-06-24 09:30:00,USD,157000.0,3,157000.0,4359,360570,,2026-06-24
INVESTEC BANK LIMITED,Recon break,Resolved,2026-06-24 09:30:00,USD,179000.0,3,179000.0,8357,340170,,2026-06-24
MORGAN STANLEY INTL,Valuation dispute,Resolved,2026-06-03 09:30:00,USD,868000.0,15,868000.0,8950,384936,,2026-06-03
SWISS LIFE AG,Late notice,Resolved,2026-07-01 09:30:00,USD,71000.0,15,71000.0,5036,342421,,2026-07-01
DEUTSCHE BANK A.G.,Recon break,Pending Review,2026-06-24 09:30:00,USD,134000.0,8,134000.0,3174,341836,,2026-06-24
WELLINGTON GLOBAL EQUITY FUND 28R5,Valuation dispute,Pending Review,2026-06-10 09:30:00,USD,502000.0,15,502000.0,2988,360166,,2026-06-10
BIMCOR INC,Valuation dispute,Resolved,2026-07-01 09:30:00,USD,195000.0,15,195000.0,2282,397524,,2026-07-01
BANCO HABITAT,Recon break,Pending Review,2026-06-03 09:30:00,USD,124000.0,3,124000.0,8742,340548,,2026-06-03
BIMCOR INC,MTM discrepancy,Resolved,2026-07-01 09:30:00,USD,69000.0,3,69000.0,8277,381327,,2026-07-01
BIMCOR INC,Recon break,Pending Review,2026-07-01 09:30:00,USD,501000.0,5,501000.0,8543,548053,,2026-07-01
BANCO HABITAT,MTM discrepancy,Resolved,2026-06-17 09:30:00,USD,892000.0,8,892000.0,3591,374408,,2026-06-17
MORGAN STANLEY INTL,Valuation dispute,Resolved,2026-06-10 09:30:00,USD,499000.0,15,499000.0,6101,384482,,2026-06-10
CENTRAL 1 CREDIT UNION,Valuation dispute,Pending Review,2026-06-10 09:30:00,USD,569000.0,3,569000.0,8711,350097,,2026-06-10
SWISS LIFE AG,Late notice,Resolved,2026-07-01 09:30:00,USD,144000.0,8,144000.0,8088,357527,,2026-07-01
BANCO HABITAT,Late notice,Resolved,2026-06-03 09:30:00,USD,11000.0,3,11000.0,1371,372694,,2026-06-03
BANCO HABITAT,Recon break,Under Investigation,2026-06-24 09:30:00,USD,480000.0,8,480000.0,8274,360684,,2026-06-24
BANK OF NOVA SCOTIA,Valuation dispute,Pending Review,2026-06-24 09:30:00,USD,545000.0,1,545000.0,1155,358795,,2026-06-24
BANK OF NOVA SCOTIA,Late notice,Under Investigation,2026-06-24 09:30:00,USD,451000.0,1,451000.0,2794,354190,,2026-06-24
CITIBANK NA,Recon break,Under Investigation,2026-06-03 09:30:00,USD,335000.0,3,335000.0,1941,351376,,2026-06-03
CITIBANK NA,Late notice,Resolved,2026-07-01 09:30:00,USD,140000.0,15,140000.0,9405,380113,,2026-07-01
BIMCOR INC,Valuation dispute,Under Investigation,2026-06-17 09:30:00,USD,605000.0,15,605000.0,9724,346650,,2026-06-17
