date,bid_rate,offer_rate,ccy,rate_type,fx_rate_set
2026-06-03,0.87,1.12,CAD,SPOT,TDVIP_EOD
2026-06-03,0.67,0.92,EUR,SPOT,TDVIP_EOD
2026-06-03,0.65,1.1,GBP,SPOT,TDVIP_EOD
2026-06-03,1.01,1.24,JPY,SPOT,TDVIP_EOD
2026-06-03,0.67,0.73,ILS,SPOT,TDVIP_EOD
2026-06-03,0.95,1.04,USD,SPOT,TDVIP_EOD
2026-06-10,1.25,0.81,CAD,SPOT,TDVIP_EOD
2026-06-10,1.13,0.84,EUR,SPOT,TDVIP_EOD
2026-06-10,1.38,0.68,GBP,SPOT,TDVIP_EOD
2026-06-10,0.75,0.95,JPY,SPOT,TDVIP_EOD
2026-06-10,1.36,0.82,ILS,SPOT,TDVIP_EOD
2026-06-10,0.88,1.01,USD,SPOT,TDVIP_EOD
2026-06-17,0.64,0.9,CAD,SPOT,TDVIP_EOD
2026-06-17,1.28,0.7,EUR,SPOT,TDVIP_EOD
2026-06-17,0.9,1.26,GBP,SPOT,TDVIP_EOD
2026-06-17,0.66,0.73,JPY,SPOT,TDVIP_EOD
2026-06-17,0.78,1.19,ILS,SPOT,TDVIP_EOD
2026-06-17,0.83,0.95,USD,SPOT,TDVIP_EOD
2026-06-24,1.38,1.17,CAD,SPOT,TDVIP_EOD
2026-06-24,1.35,1.27,EUR,SPOT,TDVIP_EOD
2026-06-24,1.24,0.71,GBP,SPOT,TDVIP_EOD
2026-06-24,0.85,0.81,JPY,SPOT,TDVIP_EOD
2026-06-24,1.01,1.32,ILS,SPOT,TDVIP_EOD
2026-06-24,1.06,1.03,USD,SPOT,TDVIP_EOD
2026-07-01,1.29,0.88,CAD,SPOT,TDVIP_EOD
2026-07-01,1.21,1.17,EUR,SPOT,TDVIP_EOD
2026-07-01,0.81,0.66,GBP,SPOT,TDVIP_EOD
2026-07-01,0.95,1.35,JPY,SPOT,TDVIP_EOD
2026-07-01,1.13,1.08,ILS,SPOT,TDVIP_EOD
2026-07-01,1.34,0.89,USD,SPOT,TDVIP_EOD
