parent_id,petrid,org_lei,parent_lei,parent_name,internal_rating,internal_flag,rescued_data,reporting_date
BCCU,600101,549300XXHOD8SXSZKY72,549300XXHOD8SXSZKY72,CENTRAL 1 CREDIT UNION,1C,Y,,2026-06-03
INBL,600102,549300RH5FFHO48FXT69,549300RH5FFHO48FXT69,INVESTEC BANK LIMITED,2A,Y,,2026-06-03
BANH,600103,B6ARUI4946ST4S7WOU88,B6ARUI4946ST4S7WOU88,BANCO HABITAT,2B,N,,2026-06-03
WH17,600104,,,WELLINGTON GLOBAL EQUITY FUND 28R5,3A,N,,2026-06-03
SWCD,600105,529900ZM2M8QF6PZDD34,529900ZM2M8QF6PZDD34,SWISS LIFE AG,1B,Y,,2026-06-03
BNSC,600106,L3I9ZG2KFGXZ61BMYR72,L3I9ZG2KFGXZ61BMYR72,BANK OF NOVA SCOTIA,1A,Y,,2026-06-03
DBFR,600107,7LTWFZYICNSX8D621K86,7LTWFZYICNSX8D621K86,DEUTSCHE BANK A.G.,2A,N,,2026-06-03
CITI,600108,E57ODZWZ7FF32TWEFA76,E57ODZWZ7FF32TWEFA76,CITIBANK NA,1B,N,,2026-06-03
MSIL,600109,4PQUHN3JPFGFNF3BB653,4PQUHN3JPFGFNF3BB653,MORGAN STANLEY INTL,2A,Y,,2026-06-03
BIMC,600110,,,BIMCOR INC,3B,Y,,2026-06-03
PDVZ,600200,5493049924253087,5493080836372880,SYNTH FUND PDVZ,1B,Y,,2026-06-03
NWOW,600201,5493030898650814,5493064920984752,SYNTH FUND NWOW,2B,N,,2026-06-03
MUGS,600202,5493007333139142,5493040924214459,SYNTH FUND MUGS,2B,Y,,2026-06-03
MELK,600203,5493001371672097,5493016885315017,SYNTH FUND MELK,1A,N,,2026-06-03
ZCQU,600204,5493036556475749,5493035888740868,SYNTH FUND ZCQU,1A,N,,2026-06-03
QPFT,600205,5493089960988318,5493085082787135,SYNTH FUND QPFT,3A,Y,,2026-06-03
AOYF,600206,5493023303308241,,SYNTH FUND AOYF,,N,,2026-06-03
KDAC,600207,5493019657035109,5493006565280614,SYNTH FUND KDAC,1A,N,,2026-06-03
DWXQ,600208,5493064332321166,5493019105888266,SYNTH FUND DWXQ,2A,Y,,2026-06-03
JVTE,600209,5493065962292368,5493091765696823,SYNTH FUND JVTE,,Y,,2026-06-03
WQLC,600210,5493039072859284,5493040885611158,SYNTH FUND WQLC,2B,N,,2026-06-03
LLHM,600211,5493016097115753,5493028971998089,SYNTH FUND LLHM,1A,Y,,2026-06-03
VALU,600212,5493073516913982,5493025033768563,SYNTH FUND VALU,2A,N,,2026-06-03
LNDF,600213,5493068640041561,5493088782869118,SYNTH FUND LNDF,1B,N,,2026-06-03
QTOX,600214,5493052680959023,5493015429032067,SYNTH FUND QTOX,1B,N,,2026-06-03
POTQ,600215,5493066016428694,5493092054035936,SYNTH FUND POTQ,1A,N,,2026-06-03
YGMB,600216,5493009476878283,,SYNTH FUND YGMB,,N,,2026-06-03
POEB,600217,5493035261981764,,SYNTH FUND POEB,,Y,,2026-06-03
TAHP,600218,5493086317501127,5493091949620782,SYNTH FUND TAHP,1A,Y,,2026-06-03
OGEG,600219,5493032486728776,5493039144925980,SYNTH FUND OGEG,3A,Y,,2026-06-03
CHRT,600220,,5493003176858361,SYNTH FUND CHRT,1B,N,,2026-06-03
AEZM,600221,5493046614361516,5493046247056132,SYNTH FUND AEZM,,Y,,2026-06-03
TSUR,600222,5493035490982990,5493071512583376,SYNTH FUND TSUR,3A,Y,,2026-06-03
OYHJ,600223,5493052797246841,5493078403383404,SYNTH FUND OYHJ,,Y,,2026-06-03
NHQP,600224,5493008691362814,5493065202164660,SYNTH FUND NHQP,2A,Y,,2026-06-03
BAMG,600225,5493078478796698,5493092290953139,SYNTH FUND BAMG,2A,N,,2026-06-03
AZCA,600226,5493025541362415,5493025962815719,SYNTH FUND AZCA,2A,N,,2026-06-03
ERYY,600227,,,SYNTH FUND ERYY,1A,Y,,2026-06-03
IFZV,600228,5493036944506600,5493002449008739,SYNTH FUND IFZV,2B,Y,,2026-06-03
ZMKZ,600229,,5493024731644495,SYNTH FUND ZMKZ,1B,N,,2026-06-03
UVYP,600230,5493086854800858,5493079036405107,SYNTH FUND UVYP,3A,N,,2026-06-03
KPAF,600231,5493086210169646,5493083110904018,SYNTH FUND KPAF,2B,N,,2026-06-03
EXTL,600232,5493089842891400,5493052625247087,SYNTH FUND EXTL,1A,Y,,2026-06-03
JZEO,600233,5493049874301137,5493072739792776,SYNTH FUND JZEO,1B,Y,,2026-06-03
YRRL,600234,5493022452756672,,SYNTH FUND YRRL,,Y,,2026-06-03
BTTQ,600235,5493037870846742,5493009859493629,SYNTH FUND BTTQ,2B,Y,,2026-06-03
YVSC,600236,5493086785013729,5493076586815647,SYNTH FUND YVSC,1B,N,,2026-06-03
UUGI,600237,5493081754164780,5493083325618889,SYNTH FUND UUGI,1B,Y,,2026-06-03
QQEK,600238,5493070197487736,5493061016249134,SYNTH FUND QQEK,,N,,2026-06-03
ENOL,600239,5493017166061671,5493015995973031,SYNTH FUND ENOL,,N,,2026-06-03
UWTD,600240,5493075144551097,5493064625277615,SYNTH FUND UWTD,3A,Y,,2026-06-03
ITZS,600241,5493097117737048,5493046359346617,SYNTH FUND ITZS,3A,Y,,2026-06-03
TWVL,600242,5493060728106184,5493039109203450,SYNTH FUND TWVL,2B,Y,,2026-06-03
NPGS,600243,5493069788507020,5493007786343561,SYNTH FUND NPGS,2A,N,,2026-06-03
QLEQ,600244,5493075320646794,5493088291026457,SYNTH FUND QLEQ,,N,,2026-06-03
AKCJ,600245,5493022699658434,5493082150818360,SYNTH FUND AKCJ,2B,Y,,2026-06-03
SDRR,600246,5493028421834371,5493041954435782,SYNTH FUND SDRR,2B,N,,2026-06-03
DFOF,600247,5493006919844289,5493097908732175,SYNTH FUND DFOF,2B,N,,2026-06-03
FZXY,600248,5493000543746492,5493058989295601,SYNTH FUND FZXY,2A,Y,,2026-06-03
QAIA,600249,5493051078690459,5493008295438727,SYNTH FUND QAIA,3A,N,,2026-06-03
BMXY,600250,5493080336967904,,SYNTH FUND BMXY,,N,,2026-06-03
DQKD,600251,5493057790681409,5493055119965074,SYNTH FUND DQKD,2B,N,,2026-06-03
VISY,600252,5493076966352291,5493053751888137,SYNTH FUND VISY,3A,Y,,2026-06-03
HJHM,600253,5493008983561008,5493004571686938,SYNTH FUND HJHM,2B,Y,,2026-06-03
KKMM,600254,,5493031844663478,SYNTH FUND KKMM,2B,Y,,2026-06-03
DKPT,600255,5493085508055271,5493001862382167,SYNTH FUND DKPT,,Y,,2026-06-03
NOHX,600256,5493045980862675,5493020783161662,SYNTH FUND NOHX,2B,Y,,2026-06-03
ZFJD,600257,5493033834990380,5493077508363361,SYNTH FUND ZFJD,2A,N,,2026-06-03
WZDH,600258,5493077366570108,5493033280722790,SYNTH FUND WZDH,,N,,2026-06-03
SIRD,600259,5493007575856533,5493095698473576,SYNTH FUND SIRD,2B,N,,2026-06-03
GNLK,600260,5493005548396115,5493022125771631,SYNTH FUND GNLK,1A,Y,,2026-06-03
XLIX,600261,5493099739581596,5493030626657308,SYNTH FUND XLIX,2B,Y,,2026-06-03
GLAH,600262,5493097936640037,5493079759347786,SYNTH FUND GLAH,2A,Y,,2026-06-03
BDFO,600263,,5493078863919820,SYNTH FUND BDFO,,N,,2026-06-03
HUSQ,600264,5493013095031995,5493095685793560,SYNTH FUND HUSQ,,N,,2026-06-03
FHSQ,600265,5493092802824853,5493029619513613,SYNTH FUND FHSQ,1A,Y,,2026-06-03
ECUF,600266,5493022130902248,5493026490792735,SYNTH FUND ECUF,2A,Y,,2026-06-03
IKMN,600267,5493009779461754,,SYNTH FUND IKMN,,N,,2026-06-03
CTUA,600268,5493071984895075,5493017141657377,SYNTH FUND CTUA,,N,,2026-06-03
PGEO,600269,5493082058975958,5493082147735225,SYNTH FUND PGEO,1B,Y,,2026-06-03
WCFG,600270,5493050012558082,5493057714387588,SYNTH FUND WCFG,1A,Y,,2026-06-03
KAAS,600271,5493035256109462,5493037272508777,SYNTH FUND KAAS,2B,Y,,2026-06-03
WBME,600272,5493011168024305,5493090425784533,SYNTH FUND WBME,2B,N,,2026-06-03
KLFQ,600273,5493079611607365,5493039559625563,SYNTH FUND KLFQ,3A,Y,,2026-06-03
BAKJ,600274,,5493025835240675,SYNTH FUND BAKJ,2B,Y,,2026-06-03
UPSR,600275,5493096443555448,5493074060669591,SYNTH FUND UPSR,,Y,,2026-06-03
WEMG,600276,5493009159595241,5493014050017265,SYNTH FUND WEMG,3A,Y,,2026-06-03
YHMN,600277,5493088355448573,5493050499069344,SYNTH FUND YHMN,1A,Y,,2026-06-03
BKQB,600278,5493046921062333,5493009452994513,SYNTH FUND BKQB,3A,N,,2026-06-03
PWJD,600279,5493009675393541,5493084106758879,SYNTH FUND PWJD,1B,Y,,2026-06-03
LWJL,600280,5493066303909058,5493087942081883,SYNTH FUND LWJL,2A,N,,2026-06-03
VGWR,600281,5493099110980312,5493002674761787,SYNTH FUND VGWR,2B,Y,,2026-06-03
GWMN,600282,5493079009709759,5493035974746794,SYNTH FUND GWMN,1A,N,,2026-06-03
ZPOU,600283,5493002423467693,5493068343600595,SYNTH FUND ZPOU,3A,N,,2026-06-03
QJWA,600284,5493090605408903,,SYNTH FUND QJWA,2B,Y,,2026-06-03
BBGA,600285,5493024946142157,5493081354540513,SYNTH FUND BBGA,,N,,2026-06-03
GAPX,600286,5493072647493137,5493079861911265,SYNTH FUND GAPX,1B,Y,,2026-06-03
VJAI,600287,5493075948661991,5493025994672630,SYNTH FUND VJAI,,Y,,2026-06-03
SMUF,600288,5493078102065305,5493097929053418,SYNTH FUND SMUF,2A,N,,2026-06-03
COAK,600289,5493085714131236,5493096954783127,SYNTH FUND COAK,,N,,2026-06-03
SOTJ,600290,5493050217446493,5493045545375156,SYNTH FUND SOTJ,1A,N,,2026-06-03
TVVE,600291,5493090025635111,5493044104170306,SYNTH FUND TVVE,3A,N,,2026-06-03
DSRL,600292,5493057938282118,5493084587869796,SYNTH FUND DSRL,1B,N,,2026-06-03
IOGE,600293,5493053394407016,5493073816745342,SYNTH FUND IOGE,2B,N,,2026-06-03
TTDX,600294,5493087184681004,5493031870076652,SYNTH FUND TTDX,3A,Y,,2026-06-03
DJWK,600295,5493029709290770,5493091661071066,SYNTH FUND DJWK,1A,Y,,2026-06-03
TXPY,600296,5493077041136726,5493017409892886,SYNTH FUND TXPY,3A,Y,,2026-06-03
VOMM,600297,5493065892318027,5493081124434909,SYNTH FUND VOMM,2B,Y,,2026-06-03
JMCT,600298,5493041892012458,5493019009923249,SYNTH FUND JMCT,,Y,,2026-06-03
LAKX,600299,5493068813989042,5493022640442922,SYNTH FUND LAKX,1A,N,,2026-06-03
UWFQ,600300,5493039300436707,5493065321332017,SYNTH FUND UWFQ,,N,,2026-06-03
KJHX,600301,5493062660528596,5493043454446348,SYNTH FUND KJHX,1B,N,,2026-06-03
ZAEC,600302,5493078164986958,5493001328503796,SYNTH FUND ZAEC,2A,N,,2026-06-03
NJYP,600303,5493003726607257,5493085088714229,SYNTH FUND NJYP,2B,Y,,2026-06-03
GLNM,600304,5493090953237096,,SYNTH FUND GLNM,2A,N,,2026-06-03
MNAR,600305,5493012242613121,5493099893351458,SYNTH FUND MNAR,2A,Y,,2026-06-03
IGBG,600306,5493034623084671,,SYNTH FUND IGBG,2A,Y,,2026-06-03
HENU,600307,5493099788753285,5493077104525873,SYNTH FUND HENU,,N,,2026-06-03
YBIY,600308,5493069508713702,5493067680500930,SYNTH FUND YBIY,1B,Y,,2026-06-03
UDHF,600309,5493068779436393,5493041056235635,SYNTH FUND UDHF,1A,N,,2026-06-03
YTXU,600310,5493063337443574,5493019745202849,SYNTH FUND YTXU,,Y,,2026-06-03
PMUK,600311,5493055664326657,5493040645219074,SYNTH FUND PMUK,2B,N,,2026-06-03
FKBF,600312,5493020865981935,5493079154734735,SYNTH FUND FKBF,2B,N,,2026-06-03
BQLZ,600313,5493065871991346,5493078226316118,SYNTH FUND BQLZ,2A,Y,,2026-06-03
SNOB,600314,5493040097806077,5493099022832098,SYNTH FUND SNOB,2B,Y,,2026-06-03
KNFN,600315,5493056057645037,5493036731176419,SYNTH FUND KNFN,2B,Y,,2026-06-03
DZJH,600316,5493007726114764,5493000389879524,SYNTH FUND DZJH,3A,N,,2026-06-03
WCNK,600317,5493084090613454,5493081021191477,SYNTH FUND WCNK,1A,N,,2026-06-03
AYNO,600318,5493038814223080,5493088668726617,SYNTH FUND AYNO,2B,N,,2026-06-03
OXPA,600319,5493058555669547,5493067215564505,SYNTH FUND OXPA,2A,N,,2026-06-03
MMKS,600320,5493063034447286,5493084181199976,SYNTH FUND MMKS,1B,Y,,2026-06-03
QRMT,600321,5493005413442568,5493079599449175,SYNTH FUND QRMT,1B,Y,,2026-06-03
UTWC,600322,5493023574958206,5493073837617021,SYNTH FUND UTWC,,N,,2026-06-03
NTEP,600323,5493022021769779,5493091188458333,SYNTH FUND NTEP,,N,,2026-06-03
DRVS,600324,5493034330180143,5493000703549304,SYNTH FUND DRVS,2A,N,,2026-06-03
NNHB,600325,5493064016194592,5493081317446471,SYNTH FUND NNHB,,Y,,2026-06-03
BACG,600326,,5493051135162358,SYNTH FUND BACG,2A,N,,2026-06-03
QOIA,600327,5493011956510383,5493046908643938,SYNTH FUND QOIA,,Y,,2026-06-03
MUCE,600328,,5493076100392111,SYNTH FUND MUCE,,N,,2026-06-03
LSFB,600329,5493025075792266,5493085196610054,SYNTH FUND LSFB,1A,Y,,2026-06-03
JBKI,600330,5493051809531772,5493010897380674,SYNTH FUND JBKI,2A,Y,,2026-06-03
KFMG,600331,5493082811728609,5493054688646416,SYNTH FUND KFMG,,Y,,2026-06-03
EFQP,600332,5493098421880675,5493023047902418,SYNTH FUND EFQP,2B,Y,,2026-06-03
IAIX,600333,5493017560003760,5493073047613428,SYNTH FUND IAIX,1B,Y,,2026-06-03
OUGC,600334,5493011325333264,5493017738199752,SYNTH FUND OUGC,1B,Y,,2026-06-03
IYLO,600335,,5493035183696404,SYNTH FUND IYLO,,Y,,2026-06-03
IUCP,600336,5493080776280182,5493066394372797,SYNTH FUND IUCP,,Y,,2026-06-03
MFVL,600337,5493037224125994,5493098263607450,SYNTH FUND MFVL,,Y,,2026-06-03
TIQH,600338,5493041232078796,5493060586866456,SYNTH FUND TIQH,1B,Y,,2026-06-03
UFTX,600339,5493083028624919,5493089268822742,SYNTH FUND UFTX,1A,N,,2026-06-03
OZIQ,600340,5493025927581539,,SYNTH FUND OZIQ,2A,Y,,2026-06-03
VQTD,600341,5493097043487293,,SYNTH FUND VQTD,1A,Y,,2026-06-03
TVUD,600342,5493060213490344,5493007775743135,SYNTH FUND TVUD,2A,N,,2026-06-03
QSOG,600343,5493062850003475,5493077448340039,SYNTH FUND QSOG,2B,N,,2026-06-03
TKST,600344,5493031507158812,5493059583765574,SYNTH FUND TKST,3A,Y,,2026-06-03
USTP,600345,5493092842940742,5493019935228035,SYNTH FUND USTP,2B,Y,,2026-06-03
SFEO,600346,5493055313379032,5493034386325682,SYNTH FUND SFEO,2B,N,,2026-06-03
XVEW,600347,5493021517888101,5493028617182111,SYNTH FUND XVEW,2A,N,,2026-06-03
SJLA,600348,5493018874959394,5493090306224032,SYNTH FUND SJLA,3A,N,,2026-06-03
CJHI,600349,5493054670423992,5493036446713821,SYNTH FUND CJHI,1A,N,,2026-06-03
VOPA,600350,5493085198654466,5493041303629365,SYNTH FUND VOPA,1B,Y,,2026-06-03
OGXW,600351,5493035666469738,5493012938655880,SYNTH FUND OGXW,2B,N,,2026-06-03
OPJL,600352,5493096005189662,5493055069559780,SYNTH FUND OPJL,3A,N,,2026-06-03
OJZM,600353,5493007288210859,5493075557344288,SYNTH FUND OJZM,2A,N,,2026-06-03
NTDR,600354,5493081559639520,5493012076694448,SYNTH FUND NTDR,2B,N,,2026-06-03
EYWV,600355,5493004573346370,5493065708206939,SYNTH FUND EYWV,2B,N,,2026-06-03
OVBL,600356,5493055643754050,5493051536493534,SYNTH FUND OVBL,2B,Y,,2026-06-03
ZHVJ,600357,5493082018723159,5493036458694354,SYNTH FUND ZHVJ,2B,N,,2026-06-03
VKJU,600358,,,SYNTH FUND VKJU,2B,N,,2026-06-03
PHBC,600359,5493040599055119,5493040016459235,SYNTH FUND PHBC,,Y,,2026-06-03
SYZJ,600360,5493042671048137,5493087751731089,SYNTH FUND SYZJ,2A,Y,,2026-06-03
OLYO,600361,5493092721382393,5493045925966131,SYNTH FUND OLYO,3A,Y,,2026-06-03
VZYF,600362,5493034262697150,5493016901770812,SYNTH FUND VZYF,3A,N,,2026-06-03
KZSW,600363,5493068546888456,,SYNTH FUND KZSW,,Y,,2026-06-03
YRUF,600364,5493069225044079,5493005211670396,SYNTH FUND YRUF,2A,Y,,2026-06-03
NISN,600365,5493017270723750,5493039059549774,SYNTH FUND NISN,2A,Y,,2026-06-03
FQOF,600366,5493022408460858,5493063018446004,SYNTH FUND FQOF,1A,N,,2026-06-03
VARA,600367,5493020958818252,,SYNTH FUND VARA,3A,Y,,2026-06-03
REBL,600368,5493060965613918,5493039358319979,SYNTH FUND REBL,3A,N,,2026-06-03
NXKG,600369,5493012295295586,5493014294214856,SYNTH FUND NXKG,1B,Y,,2026-06-03
QLZL,600370,5493068206530107,5493058707158271,SYNTH FUND QLZL,1B,N,,2026-06-03
VQCC,600371,5493042956004476,5493015606684061,SYNTH FUND VQCC,,Y,,2026-06-03
DCAH,600372,5493062312660189,5493081630030784,SYNTH FUND DCAH,1A,Y,,2026-06-03
BVMA,600373,5493013775409004,5493001876905492,SYNTH FUND BVMA,2A,Y,,2026-06-03
XNAM,600374,5493057558950719,5493061285818368,SYNTH FUND XNAM,1A,Y,,2026-06-03
MHCZ,600375,5493089783324055,5493016359486150,SYNTH FUND MHCZ,3A,Y,,2026-06-03
FBPD,600376,5493028530371280,5493004510855154,SYNTH FUND FBPD,1B,Y,,2026-06-03
WRAI,600377,5493038910075549,5493012229481100,SYNTH FUND WRAI,1A,N,,2026-06-03
WECI,600378,5493067618256551,5493087709245480,SYNTH FUND WECI,1B,Y,,2026-06-03
RYMG,600379,5493013669232852,5493042202349695,SYNTH FUND RYMG,1A,N,,2026-06-03
KDTL,600380,5493036061352502,5493019364331643,SYNTH FUND KDTL,2B,Y,,2026-06-03
TIKK,600381,5493014948955704,5493058587590842,SYNTH FUND TIKK,1A,N,,2026-06-03
XUXG,600382,5493074416927553,,SYNTH FUND XUXG,,N,,2026-06-03
VKPY,600383,5493042336797336,5493075713639337,SYNTH FUND VKPY,1A,N,,2026-06-03
FVLL,600384,,,SYNTH FUND FVLL,1A,N,,2026-06-03
ADUW,600385,5493036079328041,5493082270868810,SYNTH FUND ADUW,2B,Y,,2026-06-03
VHWY,600386,5493052010640365,5493025005681096,SYNTH FUND VHWY,2B,N,,2026-06-03
ROEZ,600387,5493054030710479,5493072258391664,SYNTH FUND ROEZ,1A,N,,2026-06-03
CSVO,600388,5493034005209908,5493001720654040,SYNTH FUND CSVO,1B,Y,,2026-06-03
HZOQ,600389,5493042046850547,5493027421882920,SYNTH FUND HZOQ,2B,Y,,2026-06-03
BOQX,600390,5493080160042099,5493099558140453,SYNTH FUND BOQX,3A,N,,2026-06-03
GEHO,600391,5493079288045484,5493053201712442,SYNTH FUND GEHO,2B,Y,,2026-06-03
XJIC,600392,5493060289419085,5493059534848810,SYNTH FUND XJIC,2A,N,,2026-06-03
BYNU,600393,5493069466755394,5493005120451299,SYNTH FUND BYNU,2A,N,,2026-06-03
LQJX,600394,5493044800400829,,SYNTH FUND LQJX,,Y,,2026-06-03
ZNCY,600395,,,SYNTH FUND ZNCY,3A,Y,,2026-06-03
LZGJ,600396,5493066546561322,,SYNTH FUND LZGJ,2A,N,,2026-06-03
PZOC,600397,5493000093073939,5493097006407788,SYNTH FUND PZOC,3A,N,,2026-06-03
FQXH,600398,5493025950390204,5493008823414520,SYNTH FUND FQXH,1B,N,,2026-06-03
IBNF,600399,5493010014566079,,SYNTH FUND IBNF,,N,,2026-06-03
SDNJ,600400,5493054545158549,5493081599340129,SYNTH FUND SDNJ,1A,Y,,2026-06-03
AOLL,600401,5493058197471516,5493076732706832,SYNTH FUND AOLL,,Y,,2026-06-03
BIAR,600402,5493039301795113,5493077212986821,SYNTH FUND BIAR,1B,Y,,2026-06-03
UXXF,600403,5493041026375190,5493081341955018,SYNTH FUND UXXF,1B,Y,,2026-06-03
IVYM,600404,5493068316846013,5493085546344374,SYNTH FUND IVYM,2A,Y,,2026-06-03
ETHF,600405,5493054504656771,5493000970047280,SYNTH FUND ETHF,3A,Y,,2026-06-03
RDZU,600406,5493087351363401,5493075809662811,SYNTH FUND RDZU,1A,N,,2026-06-03
NWIM,600407,5493025279900366,5493018279439998,SYNTH FUND NWIM,,Y,,2026-06-03
BSPM,600408,5493063938765752,5493043012382663,SYNTH FUND BSPM,1A,Y,,2026-06-03
CZEY,600409,5493096150708132,5493098492921216,SYNTH FUND CZEY,3A,Y,,2026-06-03
ELEI,600410,5493091861719422,5493067143746253,SYNTH FUND ELEI,,Y,,2026-06-03
LTLR,600411,5493055686730020,5493036439806534,SYNTH FUND LTLR,2B,N,,2026-06-03
RVON,600412,5493070372885245,5493030330094078,SYNTH FUND RVON,,N,,2026-06-03
NWYG,600413,5493028733457806,5493043559856489,SYNTH FUND NWYG,1B,N,,2026-06-03
CGWA,600414,5493010349263066,5493060845135351,SYNTH FUND CGWA,1B,N,,2026-06-03
HOPF,600415,5493083613831668,5493071627776536,SYNTH FUND HOPF,2B,Y,,2026-06-03
ZWEY,600416,5493037643711994,5493016466846137,SYNTH FUND ZWEY,1A,Y,,2026-06-03
BJXW,600417,5493086452387089,5493053433204191,SYNTH FUND BJXW,2A,Y,,2026-06-03
SAPH,600418,5493007170105448,5493009859761042,SYNTH FUND SAPH,3A,N,,2026-06-03
ZWBG,600419,5493018538357022,5493023139084550,SYNTH FUND ZWBG,2A,Y,,2026-06-03
KSGU,600420,5493034637954497,5493073846553682,SYNTH FUND KSGU,2A,Y,,2026-06-03
VRZY,600421,5493074334613413,5493089338768036,SYNTH FUND VRZY,,N,,2026-06-03
BMUK,600422,5493014640444916,5493071834419736,SYNTH FUND BMUK,2B,Y,,2026-06-03
KXCX,600423,5493073022535356,5493028076823215,SYNTH FUND KXCX,1B,N,,2026-06-03
OLVM,600424,5493074967766884,5493019518346360,SYNTH FUND OLVM,1A,N,,2026-06-03
JQUU,600425,5493098547093908,5493067418726882,SYNTH FUND JQUU,2B,Y,,2026-06-03
EBMS,600426,5493093406463578,5493061402939668,SYNTH FUND EBMS,2A,Y,,2026-06-03
RTGT,600427,5493061248152981,5493027464442562,SYNTH FUND RTGT,2A,N,,2026-06-03
DYTZ,600428,5493075473867211,,SYNTH FUND DYTZ,2B,N,,2026-06-03
ROHR,600429,5493032649211442,5493068433704574,SYNTH FUND ROHR,1A,N,,2026-06-03
IBYP,600430,5493087211790686,5493001937065959,SYNTH FUND IBYP,,Y,,2026-06-03
BBRX,600431,5493091278068622,5493008825739777,SYNTH FUND BBRX,2B,N,,2026-06-03
CFGJ,600432,5493099742547804,5493061722408304,SYNTH FUND CFGJ,1A,Y,,2026-06-03
RMXT,600433,5493054663907987,5493091486091466,SYNTH FUND RMXT,2B,N,,2026-06-03
EKTR,600434,5493060878455348,5493031655943400,SYNTH FUND EKTR,2A,Y,,2026-06-03
BWMQ,600435,5493047856928700,5493004293522288,SYNTH FUND BWMQ,2A,Y,,2026-06-03
EQXU,600436,5493008230096455,5493004041112373,SYNTH FUND EQXU,3A,N,,2026-06-03
KGTK,600437,5493001582321040,5493087386166883,SYNTH FUND KGTK,2B,Y,,2026-06-03
QQPP,600438,5493009502801391,5493044293522966,SYNTH FUND QQPP,1B,Y,,2026-06-03
CQZY,600439,5493074890577742,5493010565757954,SYNTH FUND CQZY,1A,N,,2026-06-03
JDEE,600440,,5493079294335168,SYNTH FUND JDEE,2B,N,,2026-06-03
NYWJ,600441,5493074698291623,5493024074340499,SYNTH FUND NYWJ,3A,N,,2026-06-03
LWQP,600442,5493045310531832,5493055668485880,SYNTH FUND LWQP,,Y,,2026-06-03
OKXY,600443,,5493063287466859,SYNTH FUND OKXY,,N,,2026-06-03
GFJM,600444,,5493089125298678,SYNTH FUND GFJM,2B,N,,2026-06-03
NEPO,600445,5493057225998697,5493050817013876,SYNTH FUND NEPO,1A,Y,,2026-06-03
