base_threshold_principal,base_threshold_counterparty,base_min_transfer_principal,base_min_transfer_counterparty,counterparty_rounding,principal_rounding,base_total_exposure_amount,action,agreed_amount,base_call_amount,booked_amount_first_leg,booked_amount_second_leg,call_status,counterparty_amount,reporting_call_amount,agreement_id,event_id,external_id,instrument_id,margin_type,reporting_currency,dispute_age,rescued_data,reporting_date
0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,ITM No Calls,4000000.0,4000000.0,,,No Call Required,,4000000.0,11689,99795,7800,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,0.0,10000.0,10000.0,0.0,Recall,1600000.0,1600000.0,,,No Call Required,,1600000.0,10976,96226,7723,,Net,USD,0.0,,2026-06-17
0.0,0.0,0.0,0.0,10000.0,10000.0,-100000.0,ITM No Calls,1000000.0,1000000.0,,,No Call Required,,1000000.0,10979,95214,7649,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,0.0,10000.0,10000.0,300000.0,Call,3600000.0,3600000.0,,,No Call Required,,3600000.0,11353,90107,7915,,Net,USD,,,2026-07-01
0.0,250000.0,0.0,250000.0,10000.0,10000.0,100000.0,Recall,4200000.0,4200000.0,,,No Call Required,,4200000.0,11124,93619,7239,,Net,USD,0.0,,2026-07-01
0.0,0.0,0.0,0.0,10000.0,10000.0,500000.0,ITM No Calls,400000.0,400000.0,,,No Call Required,,400000.0,10064,98442,7574,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,250000.0,10000.0,10000.0,200000.0,ITM No Calls,4900000.0,4900000.0,,,No Call Required,,4900000.0,10158,90726,7844,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,0.0,10000.0,10000.0,300000.0,Recall,1500000.0,1500000.0,,,No Call Required,,1500000.0,10294,96571,7756,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,250000.0,10000.0,10000.0,300000.0,Call,3400000.0,3400000.0,,,Pending Review,,3400000.0,10286,96594,7192,,Net,USD,0.0,,2026-06-03
0.0,250000.0,0.0,0.0,10000.0,10000.0,100000.0,Call,4900000.0,4900000.0,,,Pending Review,,4900000.0,11879,99274,7031,,Net,USD,0.0,,2026-06-10
0.0,0.0,0.0,0.0,10000.0,10000.0,-100000.0,Call,1500000.0,1500000.0,,,No Call Required,,1500000.0,10417,93618,7255,,Net,USD,0.0,,2026-06-24
0.0,250000.0,0.0,250000.0,10000.0,10000.0,400000.0,Call,3200000.0,3200000.0,,,Pending Review,,3200000.0,10551,90701,7403,,Net,USD,0.0,,2026-06-17
0.0,250000.0,0.0,250000.0,10000.0,10000.0,400000.0,Call,4300000.0,4300000.0,,,Pending Review,,4300000.0,10123,99299,7595,,Net,USD,0.0,,2026-06-24
0.0,0.0,0.0,0.0,10000.0,10000.0,-100000.0,Recall,200000.0,200000.0,,,No Call Required,,200000.0,10918,93054,7374,,Net,USD,0.0,,2026-06-10
