record_id,issuer_name,assigned_canonical,match_tier,confidence,status,true_issuer
800068,Investech,Investech,exact,1.0,resolved,Investec
800088,Bank of Nova Scota,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800081,Nova Scotia Bank,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800096,Bank of America NA,Bank of America NA,exact,1.0,resolved,Bank of America
800024,Jp Morgan Chse,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800022,JPMorgn Chase,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800128,Scot,,none,0.0,quarantine,AMBIGUOUS
800066,Invstec Bank,Investech,exact,1.0,resolved,Investec
800045,Duetsche Bank,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800087,Bank of Nova Scota,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800073,Bank of Nova Scotia,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800111,Bank of China,Bank of China,exact,1.0,resolved,Bank of China
800054,Investec Bank Ltd,Investech,exact,1.0,resolved,Investec
800122,Bank of China Limited,Bank of China,exact,1.0,resolved,Bank of China
800044,Duetsche Bank,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800061,Investec Bank Limted,Investech,exact,1.0,resolved,Investec
800124,Bank of China Limited,Bank of China,exact,1.0,resolved,Bank of China
800009,J.P. Morgan,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800085,BNS,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800080,Nova Scotia Bank,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800006,JP Morgan Chase,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800074,Scotiabank,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800013,JPMorgan,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800019,J.P.Morgan Chase,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800007,JP Morgan Chase,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800032,DB AG,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800077,Scotiabank,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800012,JPMorgan,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800093,Bank of America,Bank of America NA,exact,1.0,resolved,Bank of America
800127,JPM,,none,0.0,quarantine,AMBIGUOUS
800011,J.P. Morgan,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800033,DB AG,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800021,JPMorgn Chase,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800083,BNS,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800005,JP Morgan Chase,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800055,Investec,Investech,exact,1.0,resolved,Investec
800039,Deutsche Bank A.G.,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800071,Bank of Nova Scotia,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800030,DB AG,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800125,Investech Bnk,Investech,fuzzy,0.8,resolved,AMBIGUOUS
800118,BOC,Bank of China,exact,1.0,resolved,Bank of China
800100,BofA,Bank of America NA,exact,1.0,resolved,Bank of America
800063,Investec Bank Limted,Investech,exact,1.0,resolved,Investec
800051,Investec Bank Limited,Investech,exact,1.0,resolved,Investec
800049,Db Ag,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800020,J.P.Morgan Chase,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800115,Bank of China Ltd,Bank of China,exact,1.0,resolved,Bank of China
800090,Scotia Bank,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800035,Deutsche Bk,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800101,BofA,Bank of America NA,exact,1.0,resolved,Bank of America
800025,Deutsche Bank AG,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800008,J.P. Morgan,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800099,BofA,Bank of America NA,exact,1.0,resolved,Bank of America
800123,Bank of China Limited,Bank of China,exact,1.0,resolved,Bank of China
800023,Jp Morgan Chse,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800029,Deutsche Bank,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800026,Deutsche Bank AG,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800102,Bank of Amerca,Bank of America NA,exact,1.0,resolved,Bank of America
800018,JPM Chase,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800003,JPMorgan Chase & Co,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800110,Bank of America Corp,Bank of America NA,exact,1.0,resolved,Bank of America
800108,B of A,Bank of America NA,exact,1.0,resolved,Bank of America
800027,Deutsche Bank,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800119,Bank of Chna,Bank of China,exact,1.0,resolved,Bank of China
800046,Duetsche Bank,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800086,Bank of Nova Scota,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800028,Deutsche Bank,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800037,Deutsche Bank A.G.,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800064,Invstec Bank,Investech,exact,1.0,resolved,Investec
800084,BNS,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800116,Bank of China Ltd,Bank of China,exact,1.0,resolved,Bank of China
800082,Nova Scotia Bank,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800104,Bank of Amerca,Bank of America NA,exact,1.0,resolved,Bank of America
800076,Scotiabank,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800120,Bank of Chna,Bank of China,exact,1.0,resolved,Bank of China
800031,DB AG,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800042,DEUTCHE BANK,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800106,B of A,Bank of America NA,exact,1.0,resolved,Bank of America
800126,D B,,none,0.0,quarantine,AMBIGUOUS
800038,Deutsche Bank A.G.,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800113,Bank of China,Bank of China,exact,1.0,resolved,Bank of China
800092,Scotia Bank,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800060,INVESTC BANK,Investech,exact,1.0,resolved,Investec
800059,INVESTC BANK,Investech,exact,1.0,resolved,Investec
800109,Bank of America Corp,Bank of America NA,exact,1.0,resolved,Bank of America
800097,Bank of America NA,Bank of America NA,exact,1.0,resolved,Bank of America
800089,Bank of Nova Scota,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800014,JPMorgan,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800036,Deutsche Bk,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800002,JPMorgan Chase & Co,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800121,Bank of Chna,Bank of China,exact,1.0,resolved,Bank of China
800095,Bank of America NA,Bank of America NA,exact,1.0,resolved,Bank of America
800047,Db Ag,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800001,JPMorgan Chase & Co,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800034,Deutsche Bk,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800098,Bank of America NA,Bank of America NA,exact,1.0,resolved,Bank of America
800004,JP Morgan Chase,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800094,Bank of America,Bank of America NA,exact,1.0,resolved,Bank of America
800065,Invstec Bank,Investech,exact,1.0,resolved,Investec
800010,J.P. Morgan,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800117,BOC,Bank of China,exact,1.0,resolved,Bank of China
800112,Bank of China,Bank of China,exact,1.0,resolved,Bank of China
800000,JPMorgan Chase & Co,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800062,Investec Bank Limted,Investech,exact,1.0,resolved,Investec
800016,JPM Chase,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800017,JPM Chase,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800058,INVESTC BANK,Investech,exact,1.0,resolved,Investec
800050,Investec Bank Limited,Investech,exact,1.0,resolved,Investec
800056,Investec,Investech,exact,1.0,resolved,Investec
800114,Bank of China Ltd,Bank of China,exact,1.0,resolved,Bank of China
800075,Scotiabank,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800107,B of A,Bank of America NA,exact,1.0,resolved,Bank of America
800079,The Bank of Nova Scotia,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800105,Bank of Amerca,Bank of America NA,exact,1.0,resolved,Bank of America
800043,Duetsche Bank,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800072,Bank of Nova Scotia,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800015,JPM Chase,J.P. Morgan,exact,1.0,resolved,JPMorgan Chase
800053,Investec Bank Ltd,Investech,exact,1.0,resolved,Investec
800067,Investech,Investech,exact,1.0,resolved,Investec
800091,Scotia Bank,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800040,DEUTCHE BANK,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800070,Bank of Nova Scotia,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800103,Bank of Amerca,Bank of America NA,exact,1.0,resolved,Bank of America
800048,Db Ag,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800069,Investech,Investech,exact,1.0,resolved,Investec
800078,The Bank of Nova Scotia,Bank of Nova Scota,exact,1.0,resolved,Bank of Nova Scotia
800057,Investec,Investech,exact,1.0,resolved,Investec
800041,DEUTCHE BANK,Duetsche Bank,exact,1.0,resolved,Deutsche Bank
800052,Investec Bank Ltd,Investech,exact,1.0,resolved,Investec
