trade_id,counterparty_name_raw,counterparty_lei,product,notional,true_cp_code
6000000,DEUTSCHE,7LTWFZYICNSX8D621K86,IR Swap,48000000,DBFR
6000001,Morgan Stanly,,IR Swap,25000000,MSIL
6000002,D.B.,7LTWFZYICNSX8D621K86,FX Option,153000000,DBFR
6000003,DEUTSCHE,,IR Swap,160000000,DBFR
6000004,CENTRAL 1 CU,549300XXHOD8SXSZKY72,FX Option,49000000,BCCU
6000005,INVESTC BANK,549300RH5FFHO48FXT69,Repo,84000000,INBL
6000006,DB,7LTWFZYICNSX8D621K86,CDS,128000000,DBFR
6000007,CENTRAL 1 CU,549300XXHOD8SXSZKY72,CDS,105000000,BCCU
6000008,FIRST REPUBLIC BANK,,CDS,195000000,JPMC
6000009,INVESTC BANK,549300RH5FFHO48FXT69,FX Option,145000000,INBL
6000010,Morgan Stanley Intl,4PQUHN3JPFGFNF3BB653,CDS,99000000,MSIL
6000011,CENTRAL 1 CREDIT UNION,,FX Option,55000000,BCCU
6000012,INVESTEC BANK LIMITED,549300RH5FFHO48FXT69,Repo,108000000,INBL
6000013,CENTRAL 1 CU,,CDS,87000000,BCCU
6000014,Central 1,549300XXHOD8SXSZKY72,Repo,195000000,BCCU
6000015,CENTRAL 1 CREDIT UNION,549300XXHOD8SXSZKY72,FX Option,3000000,BCCU
6000016,Central 1,,IR Swap,175000000,BCCU
6000017,First Republic,7H6GLXDRUGQFU57RNE97,IR Swap,188000000,JPMC
6000018,Morgan Stanley Intl,4PQUHN3JPFGFNF3BB653,Repo,30000000,MSIL
6000019,DEUTSCHE,,FX Option,70000000,DBFR
6000020,Morgan Stanly,,FX Option,54000000,MSIL
6000021,Investec Bank Limted,,FX Option,11000000,INBL
6000022,INVESTEC BANK LIMITED,549300RH5FFHO48FXT69,FX Option,198000000,INBL
6000023,JP MORGAN,,Repo,19000000,JPMC
6000024,CENTRAL 1 CREDIT UNION,549300XXHOD8SXSZKY72,IR Swap,4000000,BCCU
6000025,JP MORGAN,7H6GLXDRUGQFU57RNE97,Repo,33000000,JPMC
6000026,JPM,,IR Swap,99000000,JPMC
6000027,INVESTC BANK,549300RH5FFHO48FXT69,IR Swap,157000000,INBL
6000028,INVESTC BANK,549300RH5FFHO48FXT69,IR Swap,176000000,INBL
6000029,DEUTSCHE,,Repo,13000000,DBFR
6000030,CENTRAL 1 CREDIT UNION,549300XXHOD8SXSZKY72,CDS,62000000,BCCU
6000031,Citibanc,E57ODZWZ7FF32TWEFA76,Repo,153000000,CITI
6000032,D.B.,7LTWFZYICNSX8D621K86,FX Option,33000000,DBFR
6000033,Investec Bank Limted,549300RH5FFHO48FXT69,FX Option,72000000,INBL
6000034,INVESTEC BANK LIMITED,,FX Option,69000000,INBL
6000035,DEUTSCHE,7LTWFZYICNSX8D621K86,FX Option,46000000,DBFR
6000036,Scotiabank,L3I9ZG2KFGXZ61BMYR72,IR Swap,24000000,BNSC
6000037,BANK OF NOVA SCOTIA,,CDS,169000000,BNSC
6000038,Citibanc,E57ODZWZ7FF32TWEFA76,IR Swap,152000000,CITI
6000039,CENTRAL 1 CREDIT UNION,549300XXHOD8SXSZKY72,CDS,180000000,BCCU
6000040,BANK OF NOVA SCOTIA,L3I9ZG2KFGXZ61BMYR72,FX Option,124000000,BNSC
6000041,CENTRAL 1 CU,549300XXHOD8SXSZKY72,IR Swap,19000000,BCCU
6000042,Central 1,549300XXHOD8SXSZKY72,FX Option,189000000,BCCU
6000043,Citibanc,E57ODZWZ7FF32TWEFA76,CDS,91000000,CITI
6000044,CENTRAL 1 CU,549300XXHOD8SXSZKY72,FX Option,107000000,BCCU
6000045,Morgan Stanley Intl,,FX Option,160000000,MSIL
6000046,CITI,E57ODZWZ7FF32TWEFA76,FX Option,156000000,CITI
6000047,CENTRAL 1 CREDIT UNION,549300XXHOD8SXSZKY72,FX Option,66000000,BCCU
6000048,D.B.,7LTWFZYICNSX8D621K86,Repo,113000000,DBFR
6000049,Deutsche Bank,7LTWFZYICNSX8D621K86,FX Option,80000000,DBFR
6000050,FIRST REPUBLIC BANK,7H6GLXDRUGQFU57RNE97,IR Swap,179000000,JPMC
6000051,Central 1,,Repo,66000000,BCCU
6000052,Central 1,549300XXHOD8SXSZKY72,IR Swap,133000000,BCCU
6000053,Investec Bank Limted,,Repo,128000000,INBL
6000054,Investec Bank Limted,549300RH5FFHO48FXT69,CDS,51000000,INBL
6000055,CITI,,IR Swap,55000000,CITI
6000056,DB,7LTWFZYICNSX8D621K86,CDS,54000000,DBFR
6000057,INVESTEC BANK LIMITED,549300RH5FFHO48FXT69,FX Option,183000000,INBL
6000058,Central 1,,FX Option,116000000,BCCU
6000059,D.B.,,Repo,98000000,DBFR
6000060,Citibanc,E57ODZWZ7FF32TWEFA76,CDS,184000000,CITI
6000061,Morgan Stanly,4PQUHN3JPFGFNF3BB653,FX Option,72000000,MSIL
6000062,Morgan Stanley Intl,,CDS,147000000,MSIL
