external_id,principal_lei,principal,principal_code,counterparty,counterparty_code,counterparty_lei,principal_rating,counterparty_rating,agreement_category,groupname,base_currency,im_legal_review_frequency,legal_review_frequency,reciprocity,counterparty_fixed_mta_values,counterparty_fixed_mta_value_ccy,counterparty_im_fixed_mta_values,counterparty_im_fixed_mta_value_ccy,counterparty_fixed_rounding_values,counterparty_fixed_rounding_value_ccy,counterparty_fixed_threshold_value_ccy,counterparty_fixed_threshold_values,counterparty_fixed_values,counterparty_im,counterparty_im_fixed_rounding_value_ccy,counterparty_im_fixed_rounding_values,counterparty_im_fixed_threshold_value_ccy,counterparty_im_fixed_threshold_values,counterparty_im_fixed_values,counterparty_im_rating_contingent_values,counterparty_im_seg_type,principal_fixed_mta_value_ccy,principal_fixed_mta_values,principal_fixed_rounding_value_ccy,principal_fixed_rounding_values,principal_fixed_threshold_value_ccy,principal_fixed_threshold_values,principal_fixed_values,principal_im,principal_im_fixed_mta_value_ccy,principal_im_fixed_mta_values,principal_im_fixed_rounding_value_ccy,principal_im_fixed_rounding_values,principal_im_fixed_threshold_value_ccy,principal_im_fixed_threshold_values,principal_im_fixed_values,principal_im_rating_contingent_values,principal_im_seg_type,principal_industry,principal_agreement_ia,counterparty_agreement_ia,agreement_date,agreement_id,agreement_status,agreement_description,agreement_type,agreementgroupcode,counterparty_seg_type,principal_seg_type,segregation,linkage_set,assets,custodian,simm_principal_calculation_currency,simm_cp_calculation_currency,rescued_data,reporting_date,agreement_name,region,principal_termination_currency,counterparty_termination_currency
1689,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,CENTRAL 1 CREDIT UNION:BCCU,BCCU,549300XXHOD8SXSZKY72,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:1C",ISDA CSA,TDBK_BCCU_GEN,USD,,,,10000.0,,,,,,USD,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992-01-02,A77021,Amended,TDBK_BCCU_GENERAL_CSA,GENERAL_CSA,TDBK_BCCU_GEN,,,Y,,German Government Note;US Common Stock;Israel Government Bond,BNY MELLON,,,,2026-06-03,TDBK_BCCU_GENERAL_CSA,TDBK,,USD
1268,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,INVESTEC BANK LIMITED:INBL,INBL,549300RH5FFHO48FXT69,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2A",ISDA CSA,TDBK_INBL_GEN,USD,,,,10000.0,,,,,,USD,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-19,A77022,Active,TDBK_INBL_GENERAL_CSA,GENERAL_CSA,TDBK_INBL_GEN,,,Y,,Ontario Provincial Bond;USD CASH;Israel Government Bond,N/A,,,,2026-06-03,TDBK_INBL_GENERAL_CSA,TDBK,USD,USD
7468,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BANK OF NOVA SCOTIA:BNSC,BNSC,L3I9ZG2KFGXZ61BMYR72,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:1A",ISDA CSA,TDBK_BNSC_GEN,USD,,,,250000.0,,,,,,USD,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-04-01,A80239,Pending,TDBK_BNSC_GENERAL_CSA,REG_VM,TDBK_BNSC_GEN,,,N,,German Government Note;US Treasury;Government of Canada Bond,BNY MELLON,,,,2026-06-03,TDBK_BNSC_GENERAL_CSA,TDBK,USD,
8104,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,CENTRAL 1 CREDIT UNION:BCCU,BCCU,549300XXHOD8SXSZKY72,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:1C",ISDA CSA,TDBK_BCCU_GEN,USD,,,,10000.0,,,,,,USD,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-04-28,A21889,Active,TDBK_BCCU_GENERAL_CSA,GENERAL_CSA,TDBK_BCCU_GEN,,,N,,German Government Note;Canada Mortgage Bonds;Ontario Provincial Bond,STATE STREET,,,,2026-06-03,TDBK_BCCU_GENERAL_CSA,TDBK,USD,USD
0150,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BIMCOR INC:BIMC,BIMC,,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:3B",ISDA CSA,TDBK_BIMC_GEN,GBP,,,,250000.0,,,,,,GBP,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-06-27,A82963,Active,TDBK_BIMC_GENERAL_CSA,GENERAL_CSA,TDBK_BIMC_GEN,,,N,,Canada Mortgage Bonds;US Treasury;German Government Note,N/A,,,,2026-06-03,TDBK_BIMC_GENERAL_CSA,TDBK,GBP,GBP
A1788,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BIMCOR INC:BIMC,BIMC,,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:3B",ISDA CSA,TDBK_BIMC_GEN,USD,,,,10000.0,,,,,,USD,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993-08-05,A34624,Pending,TDBK_BIMC_REG_IMC_CSA,GENERAL_CSA,TDBK_BIMC_GEN,,,N,,Government of Canada Bond;CAD CASH;Ontario Provincial Bond,BNY MELLON,,,,2026-06-03,TDBK_BIMC_REG_IMC_CSA,TDBK,USD,USD
9133,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BIMCOR INC:BIMC,BIMC,,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:3B",ISDA CSA,TDBK_BIMC_GEN,EUR,,,,250000.0,,,,,,EUR,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-03-04,A51175,Amended,TDBK_BIMC_REG_VM_CSA,REG_VM,TDBK_BIMC_GEN,,,Y,,US Corporate;German Government Note;Canada Mortgage Bonds,N/A,,,,2026-06-03,TDBK_BIMC_REG_VM_CSA,TDBK,EUR,EUR
2341,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BANCO HABITAT:BANH,BANH,B6ARUI4946ST4S7WOU88,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2B",ISDA CSA,TDBK_BANH_GEN,EUR,,,,250000.0,,,,,,EUR,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-06-11,A74895,Pending,TDBK_BANH_REG_IMC_CSA,GENERAL_CSA,TDBK_BANH_GEN,,,Y,,Government of Canada Bond;US Common Stock;German Government Note,BNY MELLON,,,,2026-06-03,TDBK_BANH_REG_IMC_CSA,TDBK,EUR,EUR
0268,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,INVESTEC BANK LIMITED:INBL,INBL,549300RH5FFHO48FXT69,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:2A",ISDA CSA,TDBK_INBL_GEN,USD,,,,10000.0,,,,,,USD,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-22,A74089,Pending,TDBK_INBL_GENERAL_CSA,REG_IMC,TDBK_INBL_GEN,,,N,,German Government Note;Canada Mortgage Bonds;Israel Government Bond,BNY MELLON,,,,2026-06-03,TDBK_INBL_GENERAL_CSA,TDBK,USD,USD
K9601,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BANK OF NOVA SCOTIA:BNSC,BNSC,L3I9ZG2KFGXZ61BMYR72,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:1A",ISDA CSA,TDBK_BNSC_GEN,USD,,,,250000.0,,,,,,USD,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-19,A22267,Active,TDBK_BNSC_GENERAL_CSA,REG_IMC,TDBK_BNSC_GEN,,,N,,CAD CASH;US Corporate;Canada Mortgage Bonds,BNY MELLON,,,,2026-06-03,TDBK_BNSC_GENERAL_CSA,TDBK,USD,USD
0391,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,BIMCOR INC:BIMC,BIMC,,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:3B",ISDA CSA,TDBK_BIMC_GEN,EUR,,,,250000.0,,,,,,EUR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-24,A55482,Active,TDBK_BIMC_REG_IMC_CSA,GENERAL_CSA,TDBK_BIMC_GEN,,,N,,Israel Government Bond;US Common Stock;Government of Canada Bond,N/A,,,,2026-06-03,TDBK_BIMC_REG_IMC_CSA,TDBK,EUR,
4575,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,CITIBANK NA:CITI,CITI,E57ODZWZ7FF32TWEFA76,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:1B",ISDA CSA,TDBK_CITI_GEN,GBP,,,,250000.0,,,,,,GBP,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-01-19,A42455,Active,TDBK_CITI_GENERAL_CSA,REG_VM,TDBK_CITI_GEN,,,N,,German Government Note;Israel Government Bond;USD CASH,STATE STREET,,,,2026-06-03,TDBK_CITI_GENERAL_CSA,TDBK,,GBP
0662,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,CITIBANK NA:CITI,CITI,E57ODZWZ7FF32TWEFA76,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:1B",ISDA CSA,TDBK_CITI_GEN,EUR,,,,250000.0,,,,,,EUR,250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-26,A66429,Pending,TDBK_CITI_GENERAL_CSA,BILATERAL_CSA,TDBK_CITI_GEN,,,N,,Government of Canada Bond;US Corporate;USD CASH,STATE STREET,,,,2026-06-03,,TDBK,EUR,
2359,PT3QB789TSUIDF371261,THE TORONTO-DOMINION BANK,TDBK,WELLINGTON GLOBAL EQUITY FUND 28R5:WH17,WH17,,,"None Fitch LT:AA-,MOODYS LT:A2,DBRS LT:AA,SP LT:AA-,Internal:3A",ISDA CSA,TDBK_WH17_GEN,GBP,,,,10000.0,,,,,,GBP,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-14,A96313,Pending,TDBK_WH17_GENERAL_CSA,REG_VM,TDBK_WH17_GEN,,,N,,USD CASH;Canada Mortgage Bonds;Israel Government Bond,BNY MELLON,,,,2026-06-03,TDBK_WH17_GENERAL_CSA,TDBK,GBP,
