issuer,description,maturity_date,classification,rating,clean_price,coupon_accrual,factor,dirty_price,valuation_date,lock_up_margin,par_amount,booking_currency,booking_market_value,booking_collateral_value,haircut,internal_policy_reuse,reporting_currency,reported_market_value,reported_collateral_value,issue_date,agreement_ext_id,additional_info_1,additional_info_2,additional_info_3,additional_info_4,notation,region,group,counterparty_contact,telephone_number,fax_number,email_address,custodian,fx_rate,margin_type,asset_notes1,asset_notes2,asset_notes3,base_ccy,base_market_value,base_adjusted_collateral_value,cpty_country_of_risk,instrument_id_type,prc_payment_instruction_bucket,cpty_payment_instruction_bucket,segregation,segregation_type,gross_calc,issuer_country_of_risk,prc_account_number,prc_beneficiary_bank,prc_ultimate_custodian_code,prc_ultimate_custodian,cpty_account_number,cpty_beneficiary_bank,cpty_ultimate_custodian_code,cpty_ultimate_custodian,agreement,agreement_category,agreement_name,asset_class,asset_owner,asset_type,booking_type,business_line,ccp,cqs,collateral_status,counterparty,counterparty_lei,counterpartycode,counterpartywithcpcode,cpty_petrid,cpty_jurisdiction,cpty_cif_number,cpty_internal_flag,cpty_internal_rating,cpty_bloomberg_ticker,cpty_bloomberg_company_id,im_rehypothecation_rights,instrument_id,issue_country_of_risk,issuer_code,issuer_long_name,issuer_rating,linkage_set,market,model,pd,position,prc_petrid,prc_jurisdiction,prc_cif_number,prc_internal_flag,prc_bloomberg_ticker,prc_bloomberg_company_id,price_factor,price_source,principal,principal_lei,principalcode,rehypothecated,rehypothecation_rights,rescued_data,reporting_date,usd_to_cad_rate
German ISSUER,German Government Note 1.19,2029-08-16,,MOODYS LT:A3 SP LT:AA-,91.46,,,97.59,2026-06-03,,4200000.0,EUR,3829832.77,4032000.0,0.04,,USD,4200000.0,4032000.0,,K9049,,,,,,TDBK,,,,,,BNY MELLON,1.03,IM,,,,CAD,5670000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_INBL_REG_VM_CSA,,TDBK_INBL_REG_VM_CSA,Sovereign,,German Government Note,VM,OTC,,,Settled,INVESTEC BANK LIMITED,,INBL,,600102,,,,,,,,USAF6FG11P0B,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-03,1.36
Israel ISSUER,Israel Government Bond 8.56,2039-11-04,,MOODYS LT:A3 SP LT:AA-,94.37,,,99.48,2026-06-17,,4700000.0,ILS,4501407.95,4418000.0,0.06,,USD,4700000.0,4418000.0,,7296,,,,,,TDBK,,,,,,STATE STREET,0.82,VM,,,,CAD,6345000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_SWCD_REG_VM_CSA,,TDBK_SWCD_REG_VM_CSA,Sovereign,,Israel Government Bond,IM,OTC,,,Pending,SWISS LIFE AG,,SWCD,,600105,,,,,,,,ILCG16LDD5R6,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-17,1.36
US ISSUER,US Treasury 9.11,2043-11-14,,MOODYS LT:A3 SP LT:AA-,98.33,,,89.07,2026-06-03,,2300000.0,USD,2402225.34,2277000.0,0.01,,USD,2300000.0,2277000.0,,8033,,,,,,TDBK,,,,,,BNY MELLON,0.83,IM,,,,CAD,3105000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BCCU_GENERAL_CSA,,TDBK_BCCU_GENERAL_CSA,Sovereign,,US Treasury,VM,OTC,,,In Transit,CENTRAL 1 CREDIT UNION,,BCCU,,600101,,,,,,,,DEDMRD8MG7PJ,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-03,1.36
USD ISSUER,USD CASH 2.14,2036-11-06,,MOODYS LT:A3 SP LT:AA-,88.26,,,94.17,2026-06-24,,200000.0,USD,192085.8,200000.0,0.0,,USD,200000.0,200000.0,,2074,,,,,,TDBK,,,,,,,1.38,IM,,,,CAD,270000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_CITI_REG_VM_CSA,,TDBK_CITI_REG_VM_CSA,Cash,,USD CASH,VM,OTC,,,Pending,CITIBANK NA,,CITI,,600108,,,,,,,,US4J2N78C1AM,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-24,1.36
CAD ISSUER,CAD CASH 5.56,2031-06-04,,MOODYS LT:A3 SP LT:AA-,88.86,,,95.39,2026-07-01,,2500000.0,CAD,2296554.13,2500000.0,0.0,,USD,2500000.0,2500000.0,,0623,,,,,,TDBK,,,,,,STATE STREET,0.81,VM,,,,CAD,3375000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_SWCD_REG_IMC_CSA,,TDBK_SWCD_REG_IMC_CSA,Cash,,CAD CASH,IM,OTC,,,Settled,SWISS LIFE AG,,SWCD,,600105,,,,,,,,US5E33G2MQKH,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-07-01,1.36
USD ISSUER,USD CASH 5.59,2044-09-19,,MOODYS LT:A3 SP LT:AA-,95.48,,,92.17,2026-06-03,,100000.0,USD,90439.56,100000.0,0.0,,USD,100000.0,100000.0,,4071,,,,,,TDBK,,,,,,BNY MELLON,0.94,IM,,,,CAD,135000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BANH_REG_IMC_CSA,,TDBK_BANH_REG_IMC_CSA,Cash,,USD CASH,IM,OTC,,,In Transit,BANCO HABITAT,,BANH,,600103,,,,,,,,IL6KD2217ARP,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-03,1.36
Government ISSUER,Government of Canada Bond 4.50,2045-10-25,,MOODYS LT:A3 SP LT:AA-,99.91,,,90.8,2026-06-03,,100000.0,CAD,90434.71,98500.0,0.015,,USD,100000.0,98500.0,,0938,,,,,,TDBK,,,,,,STATE STREET,1.19,IM,,,,CAD,135000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_BCCU_REG_VM_CSA,,TDBK_BCCU_REG_VM_CSA,Sovereign,,Government of Canada Bond,VM,OTC,,,Settled,CENTRAL 1 CREDIT UNION,,BCCU,,600101,,,,,,,,DE7CBANCKDPM,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-03,1.36
US ISSUER,US Treasury 9.48,2034-12-23,,MOODYS LT:A3 SP LT:AA-,88.26,,,93.79,2026-06-17,,3700000.0,USD,3733661.7,3663000.0,0.01,,USD,3700000.0,3663000.0,,3604,,,,,,TDBK,,,,,,BNY MELLON,1.39,Not-Net,,,,CAD,4995000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_DBFR_GENERAL_CSA,,TDBK_DBFR_GENERAL_CSA,Sovereign,,US Treasury,VM,OTC,,,Settled,DEUTSCHE BANK A.G.,,DBFR,,600107,,,,,,,,USE76E7A9REH,,,,,,,,,Long,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,N,,,2026-06-17,1.36
USD ISSUER,USD CASH 9.70,2027-01-02,,MOODYS LT:A3 SP LT:AA-,94.74,,,91.41,2026-06-24,,1200000.0,USD,1124874.18,1200000.0,0.0,,USD,1200000.0,1200000.0,,0314,,,,,,TDBK,,,,,,BNY MELLON,1.16,Not-Net,,,,CAD,1620000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_SWCD_GENERAL_CSA,,TDBK_SWCD_GENERAL_CSA,Cash,,USD CASH,IM,OTC,,,Pending,SWISS LIFE AG,,SWCD,,600105,,,,,,,,USDA4LAKG4MM,,,,,,,,,Short,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-24,1.36
German ISSUER,German Government Note 2.58,2040-06-27,,MOODYS LT:A3 SP LT:AA-,89.59,,,99.17,2026-06-03,,3600000.0,EUR,3441779.67,3456000.0,0.04,,USD,3600000.0,3456000.0,,6267,,,,,,TDBK,,,,,,BNY MELLON,1.35,IM,,,,CAD,4860000.0,,,ISIN,,,,,,,,,,,,,,,TDBK_MSIL_REG_VM_CSA,,TDBK_MSIL_REG_VM_CSA,Sovereign,,German Government Note,IM,OTC,,,Settled,MORGAN STANLEY INTL,,MSIL,,600109,,,,,,,,ILC3E765DD9A,,,,,,,,,Delivered,,,,,,,,,THE TORONTO-DOMINION BANK,,TDBK,Y,,,2026-06-03,1.36
