principal_agreement_level_ia,counterparty_agreement_level_ia,base_threshold_principal,base_threshold_principal_im,base_threshold_counterparty,base_threshold_counterparty_im,base_min_transfer_principal,base_min_transfer_principal_im,base_min_transfer_counterparty,base_min_transfer_counterparty_im,base_principal_i_a,base_counterparty_external_ia,base_counterparty_i_a,counterparty_rounding,principal_rounding,itm_exposure,otm_exposure,base_total_exposure_amount,action,agreed_amount,base_call_amount,booked_amount_first_leg,booked_amount_second_leg,call_status,counterparty_amount,reporting_call_amount,model,agreement_id,event_id,external_id,instrument_id,margin_type,reporting_currency,counterparty_im_rounding,principal_im_rounding,im_requirement,event_date,counterparty,agreement_description,rescued_data,reporting_date
,,,,75000.0,,,,10000.0,,,,,,,,,14115000.0,Recall,14040000.0,14040000.0,,,Pending Review,,14040000.0,,3243,390066,1689,,Net,USD,,,,2026-06-03 00:00:00,CENTRAL 1 CREDIT UNION,TDBK_BCCU_GENERAL_CSA,,2026-06-03
,,,,75000.0,,,,10000.0,,,,,,,,,0.0,Recall,14000000.0,14000000.0,,,Margin Request Issued,,14000000.0,,1622,389834,1689,,Net,USD,,,,2026-06-03 00:00:00,CENTRAL 1 CREDIT UNION,TDBK_BCCU_GENERAL_CSA,,2026-06-03
,,,,500000.0,,,,10000.0,,,,,,,,,300000.0,Call(Deficit),765283.88,765283.88,,,Pending Review,,765283.88,,8922,345454,1268,,Net,USD,,,,2026-06-03 00:00:00,INVESTEC BANK LIMITED,TDBK_INBL_GENERAL_CSA,,2026-06-03
,,,,75000.0,,,,10000.0,,,,,,,,,-300000.0,No Call,4600000.0,4600000.0,,,Pending Review,,4600000.0,,4002,392793,6764,,Net,USD,,,,2026-06-24 00:00:00,MORGAN STANLEY INTL,TDBK_MSIL_REG_VM_CSA,,2026-06-24
,,,,500000.0,,,,10000.0,,,,,,,,,-300000.0,Delivery(Excess),5100000.0,5100000.0,,,Pending Review,,5100000.0,,6043,370137,3651,,Net,USD,,,,2026-06-17 00:00:00,DEUTSCHE BANK A.G.,TDBK_DBFR_GENERAL_CSA,,2026-06-17
,,,,500000.0,,,,10000.0,,,,,,,,,-300000.0,Delivery(Excess),100000.0,100000.0,,,Margin Request Issued,,100000.0,,6126,364507,0651,,Net,USD,,,,2026-06-03 00:00:00,BANCO HABITAT,TDBK_BANH_REG_VM_CSA,,2026-06-03
,,,,75000.0,,,,10000.0,,,,,,,,,0.0,No Call,7600000.0,7600000.0,,,No Call Required,,7600000.0,,4762,349233,4413,,Net,USD,,,,2026-06-03 00:00:00,BIMCOR INC,TDBK_BIMC_REG_VM_CSA,,2026-06-03
,,,,75000.0,,,,10000.0,,,,,,,,,-300000.0,Recall,2300000.0,2300000.0,,,Agreed,,2300000.0,,4634,363910,A6737,,Net,USD,,,,2026-06-17 00:00:00,SWISS LIFE AG,TDBK_SWCD_REG_IMC_CSA,,2026-06-17
,,,,75000.0,,,,250000.0,,,,,,,,,-200000.0,Delivery(Excess),3600000.0,3600000.0,,,No Call Required,,3600000.0,,8193,377293,7690,,Net,USD,,,,2026-06-24 00:00:00,BANK OF NOVA SCOTIA,TDBK_BNSC_GENERAL_CSA,,2026-06-24
,,,,75000.0,,,,250000.0,,,,,,,,,0.0,Delivery(Excess),4300000.0,4300000.0,,,Pending Review,,4300000.0,,8984,342684,8004,,Net,USD,,,,2026-06-24 00:00:00,CENTRAL 1 CREDIT UNION,TDBK_BCCU_REG_IMC_CSA,,2026-06-24
,,,,500000.0,,,,10000.0,,,,,,,,,-300000.0,Call(Deficit),800000.0,800000.0,,,Margin Request Issued,,800000.0,,1401,367891,5965,,Net,USD,,,,2026-06-03 00:00:00,CITIBANK NA,TDBK_CITI_REG_VM_CSA,,2026-06-03
,,,,75000.0,,,,250000.0,,,,,,,,,200000.0,Recall,2600000.0,2600000.0,,,No Call Required,,2600000.0,,3472,347957,8465,,Net,USD,,,,2026-06-03 00:00:00,CITIBANK NA,TDBK_CITI_GENERAL_CSA,,2026-06-03
,,,,500000.0,,,,10000.0,,,,,,,,,-300000.0,Call(Deficit),6600000.0,6600000.0,,,Pending Review,,6600000.0,,2101,358856,0877,,Net,USD,,,,2026-06-03 00:00:00,MORGAN STANLEY INTL,TDBK_MSIL_GENERAL_CSA,,2026-06-03
,,,,250000.0,,,,10000.0,,,,,,,,,300000.0,Recall,7100000.0,7100000.0,,,No Call Required,,7100000.0,,2186,373538,7514,,Net,USD,,,,2026-06-10 00:00:00,SWISS LIFE AG,TDBK_SWCD_REG_VM_CSA,,2026-06-10
