trade_identifier_party_a,trade_identifier_2_party_a,trade_date,effective_date,maturity_date,party_a_branch_name,party_b_branch_name,strike_price,buy_or_sell,put_or_call,exchanged_notional_1_amount,exchanged_notional_1_currency,exchanged_notional_2_amount,exchanged_notional_2_currency,valuation_base_currency,valuation_date,underlying,external_id,valuation_base_currency_amount_t_1,margin_type,settlement_date,agreement_name,ims_portfolio,ims_desk,model,pai,pai_rate,source_system,product_type,trade_identifier_party_b,applicable_agreements,rescued_data,reporting_date
91168085,,2024-11-24,2026-08-24,2031-01-17,TDBK,CITIBANK NA,,Buy,,459000000.0,USD,,,USD,2026-07-01,FX/IR,4575,200000.0,VM,2026-07-09,TDBK_CITI_GENERAL_CSA,PB,RATES,,6176.94,0.0071574,SOPHIS,Equity Swap,,4575:REG_VM|7720:REG_IMC,,2026-06-03
56910445,,2026-04-01,2025-02-03,2030-03-17,TDBK,BANCO HABITAT,104.22,Buy,,229000000.0,EUR,,,USD,2026-07-01,FX/IR,A8542,-100000.0,Net,2026-07-13,TDBK_BANH_REG_IMC_CSA,,RATES,SIMM,-3784.5,0.04256022,MUREXFXO,FX Option,,A8542:REG_VM|7917:REG_IMC,,2026-06-24
73574220,,2026-09-26,2026-09-12,2027-10-10,TDBK,INVESTEC BANK LIMITED,109.64,Sell,,479000000.0,EUR,,,USD,2026-07-01,FX/IR,K3528,1900000.0,Net,2026-07-19,TDBK_INBL_REG_IMC_CSA,PB,RATES,SIMM,-3293.74,0.03179683,SOPHIS,Equity Swap,,K3528:REG_VM|7122:REG_IMC,,2026-06-24
88769041,,2026-08-12,2024-02-03,2026-10-04,TDBK,BANK OF NOVA SCOTIA,,Sell,,332000000.0,GBP,,,USD,2026-07-01,FX/IR,0354,1000000.0,VM,2026-05-12,TDBK_BNSC_REG_IMC_CSA,PB,RATES,SIMM,-7221.75,0.01861352,CALYPSOCPG,Credit Default Swap,,0354:REG_VM|7229:REG_IMC,,2026-07-01
32364741,,2026-07-16,2025-08-26,2026-02-14,TDBK,BANCO HABITAT,93.89,Buy,,187000000.0,USD,,,USD,2026-07-01,FX/IR,9310,300000.0,IM,2026-03-08,TDBK_BANH_REG_VM_CSA,PB,RATES,SIMM,7854.78,0.00376336,MUREXFXO,FX Option,,9310:REG_VM|7633:REG_IMC,,2026-06-24
18496006,,2025-01-23,2024-02-03,2027-08-27,TDBK,DEUTSCHE BANK A.G.,,Sell,,474000000.0,CAD,,,USD,2026-07-01,FX/IR,A3823,600000.0,Net,2026-12-14,TDBK_DBFR_GENERAL_CSA,PB,RATES,SIMM,2588.39,,CALYPSOCPG,IR Swap,,A3823:REG_VM|7913:REG_IMC,,2026-06-03
59398081,,2026-03-01,2025-07-17,2026-03-08,TDBK,BANCO HABITAT,94.22,Sell,,444000000.0,GBP,,,USD,2026-07-01,FX/IR,0451,-100000.0,Net,2026-03-10,TDBK_BANH_REG_VM_CSA,PB,RATES,SIMM,-8087.8,0.01579292,CALYPSOCPG,IR Swap,,0451:REG_VM|7962:REG_IMC,,2026-06-24
40817802,,2024-05-19,2026-09-22,2030-06-06,TDBK,BANK OF NOVA SCOTIA,,Buy,,11000000.0,CAD,,,USD,2026-07-01,FX/IR,8565,-300000.0,VM,2026-08-16,TDBK_BNSC_REG_IMC_CSA,PB,RATES,SIMM,521.22,0.0407421,SOPHIS,Equity Swap,,8565:REG_VM|7965:REG_IMC,,2026-06-24
75360468,,2026-08-02,2024-02-18,2028-08-04,TDBK,BIMCOR INC,90.73,Sell,,22000000.0,GBP,,,USD,2026-07-01,FX/IR,8935,400000.0,IM,2026-03-01,TDBK_BIMC_REG_VM_CSA,PB,RATES,,-1200.42,,SOPHIS,Equity Swap,,8935:REG_VM|7120:REG_IMC,,2026-06-03
10129701,,2024-10-02,2025-02-11,2030-04-07,TDBK,INVESTEC BANK LIMITED,97.76,Buy,,26000000.0,CAD,,,USD,2026-07-01,FX/IR,1000,600000.0,Net,2026-04-10,TDBK_INBL_REG_VM_CSA,PB,RATES,SIMM,,0.04793933,CALYPSOCPG,IR Swap,,1000:REG_VM|7551:REG_IMC,,2026-06-24
11901129,,2026-03-24,2024-06-27,2030-11-13,TDBK,DEUTSCHE BANK A.G.,92.59,Buy,,311000000.0,CAD,,,USD,2026-07-01,FX/IR,A3203,1900000.0,VM,2026-02-05,TDBK_DBFR_REG_IMC_CSA,PB,RATES,SIMM,-6222.6,,CALYPSOCPG,IR Swap,,A3203:REG_VM|7652:REG_IMC,,2026-06-10
21544139,,2026-07-22,2024-02-27,2026-04-26,TDBK,BIMCOR INC,,Sell,,40000000.0,USD,,,USD,2026-07-01,FX/IR,A2562,1900000.0,IM,2026-02-03,TDBK_BIMC_REG_VM_CSA,PB,RATES,SIMM,7061.2,0.00526381,MUREXFXO,FX Option,,A2562:REG_VM|7292:REG_IMC,,2026-06-03
