source_file,physical_field,canonical_term,glossary_token,owner_domain,source_standard,party,product_class,im_vm,is_currency,status,notes
ats_summary,line,credit line,line,credit_risk,convention,,,,,draft,
ats_summary,long_name,counterparty long name,long_name,reference_data,convention,,,,,draft,
ats_summary,line_currency,credit line,line,credit_risk,convention,,,,ccy,draft,
ats_summary,limit_3_mo,exposure limit,limit_value,credit_risk,Basel,,,,,draft,
ats_summary,limit_1_yr,exposure limit,limit_value,credit_risk,Basel,,,,,draft,
ats_summary,limit_2_yr,exposure limit,limit_value,credit_risk,Basel,,,,,draft,
ats_summary,limit_5_yr,exposure limit,limit_value,credit_risk,Basel,,,,,draft,
ats_summary,limit_10_yr,exposure limit,limit_value,credit_risk,Basel,,,,,draft,
ats_summary,cartor_max,scenario stressed maximum,scenario_max,credit_risk,convention,,,,,draft,
ats_summary,zero_max,scenario stressed maximum,scenario_max,credit_risk,convention,,,,,draft,
ats_summary,c_25_max,scenario stressed maximum,scenario_max,credit_risk,convention,,,,,draft,
ats_summary,c_75_max,scenario stressed maximum,scenario_max,credit_risk,convention,,,,,draft,
ats_summary,str75_max,scenario stressed maximum,scenario_max,credit_risk,convention,,,,,draft,
ats_summary,one_max,scenario stressed maximum,scenario_max,credit_risk,convention,,,,,draft,
ats_summary,prod_max,scenario stressed maximum,scenario_max,credit_risk,convention,,,,,draft,
ats_summary,strmpr025_max,scenario stressed maximum,scenario_max,credit_risk,convention,,,,,draft,
ats_summary,max_of_all,scenario stressed maximum,scenario_max,credit_risk,convention,,,,,draft,
ats_summary,max_all_less_cartor,scenario stressed maximum,scenario_max,credit_risk,convention,,,,,draft,
ats_summary,scenario_of_max,scenario of max,scenario_of_max,credit_risk,convention,,,,,draft,
ats_summary,percentage_of_impact,percentage of impact,percentage_of_impact,credit_risk,convention,,,,,draft,
clients_report,counterparty_code,entity code,entity_code,reference_data,convention,CP,,,,draft,
clients_report,counterparty_long_name,counterparty long name,counterparty_long_name,reference_data,convention,CP,,,,draft,
clients_report,c2c_line,client-to-counterparty line,c2c_line,credit_risk,convention,,,,,draft,
clients_report,c2c_line_expiry,credit line,line,credit_risk,convention,,,,,draft,
clients_report,c2c_no_line_indicator,no-line indicator,no_line_indicator,credit_risk,convention,,,,,draft,
clients_report,cont_line,continuation line,cont_line,credit_risk,convention,,,,,draft,
clients_report,cont_line_expiry,credit line,line,credit_risk,convention,,,,,draft,
clients_report,cont_no_line_indicator,no-line indicator,no_line_indicator,credit_risk,convention,,,,,draft,
clients_report,immediate_parent,immediate parent,immediate_parent,reference_data,FIBO,,,,,draft,
clients_report,ultimate_parent,ultimate parent,ultimate_parent,reference_data,FIBO,,,,,draft,
clients_report,bis_code,BIS code,bis_code,reference_data,convention,,,,,draft,
clients_report,cif_number,CIF (Customer Information File) number,cif_number,reference_data,convention,,,,,draft,
clients_report,country_of_risk,country of risk,country_of_risk,reference_data,convention,,,,,draft,
clients_report,td_country_of_risk_rating,country risk rating,country_risk_rating,reference_data,convention,TD,,,,draft,
clients_report,location_of_residence,location of residence,location_of_residence,reference_data,convention,,,,,draft,
clients_report,td_account_rating,account rating,account_rating,reference_data,convention,TD,,,,draft,
clients_report,sic_class,SIC classification,sic,reference_data,ISO,,,,,draft,
clients_report,sic_code,SIC classification,sic,reference_data,ISO,,,,,draft,
